"spid"	"apid"	"rowi"	"coli"	"wllt"	"wllq"	"conc"	"rval"
DMSO	"09Apr2014.Plate.20"	7	3	n	1	0.0	0.63
DMSO	"20130321.Plate.7"	2	3	n	1	0.0	0.338
DMSO	"09Apr2014.Plate.28"	7	3	n	1	0.0	0.66
DMSO	"10Jun2015.Plate.12"	6	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.4"	7	3	n	1	0.0	0.48
DMSO	"10Jun2015.Plate.20"	6	3	n	1	0.0	0.08
DMSO	"26Mar2014.Plate.11"	7	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.13"	7	3	n	1	0.0	0.59
DMSO	"02Apr2014.Plate.13"	7	3	n	1	0.0	0.65
DMSO	"20130320.Plate.10"	2	2	n	1	0.0	0.13
DMSO	"20130321.Plate.3"	2	3	n	1	0.0	0.363
DMSO	"10Jun2015.Plate.29"	6	3	n	1	0.0	0.15
DMSO	"03Sep2014.Plate.15"	6	3	n	1	0.0	1.22
DMSO	"26Mar2014.Plate.2"	6	3	n	1	0.0	0.09
DMSO	"02Apr2014.Plate.20"	7	3	n	1	0.0	0.68
DMSO	"20130320.Plate.14"	2	2	n	1	0.0	0.103
DMSO	"10Jun2015.Plate.36"	6	3	n	1	0.0	0.15
DMSO	"03Sep2014.Plate.4"	6	3	n	1	0.0	1.39
DMSO	"26Mar2014.Plate.8"	6	3	n	1	0.0	0.04
DMSO	"02Apr2014.Plate.28"	7	3	n	1	0.0	0.68
DMSO	"20130320.Plate.4"	2	2	n	1	0.0	0.085
DMSO	"10Jun2015.Plate.4"	6	3	n	1	0.0	0.11
DMSO	"02Apr2014.Plate.6"	7	3	n	1	0.0	0.57
DMSO	"20130320.Plate.8"	2	3	n	1	0.0	0.171
DMSO	"09Apr2014.Plate.21"	6	3	n	1	0.0	0.36
DMSO	"20130321.Plate.7"	6	3	n	1	0.0	0.312
DMSO	"09Apr2014.Plate.29"	6	3	n	1	0.0	0.47
DMSO	"10Jun2015.Plate.13"	6	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.5"	6	3	n	1	0.0	0.5
DMSO	"10Jun2015.Plate.20"	7	3	n	1	0.0	0.08
DMSO	"26Mar2014.Plate.12"	6	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.14"	6	3	n	1	0.0	0.47
DMSO	"02Apr2014.Plate.14"	6	3	n	1	0.0	0.68
DMSO	"20130320.Plate.10"	2	3	n	1	0.0	0.146
DMSO	"20130321.Plate.3"	6	3	n	1	0.0	0.353
DMSO	"10Jun2015.Plate.29"	7	3	n	1	0.0	0.19
DMSO	"03Sep2014.Plate.15"	7	3	n	1	0.0	1.09
DMSO	"26Mar2014.Plate.2"	7	3	n	1	0.0	0.11
DMSO	"02Apr2014.Plate.21"	6	3	n	1	0.0	0.56
DMSO	"20130320.Plate.14"	2	3	n	1	0.0	0.126
DMSO	"10Jun2015.Plate.36"	7	3	n	1	0.0	0.19
DMSO	"03Sep2014.Plate.4"	7	3	n	1	0.0	1.31
DMSO	"26Mar2014.Plate.8"	7	3	n	1	0.0	0.04
DMSO	"02Apr2014.Plate.29"	6	3	n	1	0.0	0.71
DMSO	"20130320.Plate.4"	2	3	n	1	0.0	0.087
DMSO	"10Jun2015.Plate.4"	7	3	n	1	0.0	0.12
DMSO	"02Apr2014.Plate.7"	6	3	n	1	0.0	0.54
DMSO	"20130320.Plate.8"	6	3	n	1	0.0	0.122
DMSO	"09Apr2014.Plate.21"	7	3	n	1	0.0	0.46
DMSO	"20130321.Plate.7"	7	3	n	1	0.0	0.289
DMSO	"09Apr2014.Plate.25"	7	3	n	1	0.0	0.56
DMSO	"20130321.Plate.9"	7	3	n	1	0.0	0.372
DMSO	"09Apr2014.Plate.29"	7	3	n	1	0.0	0.5
DMSO	"09Apr2014.Plate.32"	7	3	n	1	0.0	0.53
DMSO	"10Jun2015.Plate.14"	6	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.5"	7	3	n	1	0.0	0.58
DMSO	"10Jun2015.Plate.9"	6	3	n	1	0.0	0.13
DMSO	"10Jun2015.Plate.18"	6	3	n	1	0.0	0.14
DMSO	"09Apr2014.Plate.9"	7	3	n	1	0.0	0.65
DMSO	"09Apr2014.Plate.10"	7	3	n	1	0.0	0.63
DMSO	"02Apr2014.Plate.10"	7	3	n	1	0.0	0.56
DMSO	"20130321.Plate.1"	7	3	n	1	0.0	0.341
DMSO	"10Jun2015.Plate.21"	6	3	n	1	0.0	0.13
DMSO	"26Mar2014.Plate.12"	7	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.14"	7	3	n	1	0.0	0.6
DMSO	"02Apr2014.Plate.14"	7	3	n	1	0.0	0.69
DMSO	"20130320.Plate.10"	6	3	n	1	0.0	0.118
DMSO	"20130321.Plate.3"	7	3	n	1	0.0	0.416
DMSO	"10Jun2015.Plate.25"	6	3	n	1	0.0	0.14
DMSO	"03Sep2014.Plate.12"	6	3	n	1	0.0	1.26
DMSO	"26Mar2014.Plate.17"	6	3	n	1	0.0	0.1
DMSO	"09Apr2014.Plate.18"	7	3	n	1	0.0	0.49
DMSO	"02Apr2014.Plate.18"	7	3	n	1	0.0	0.66
DMSO	"20130320.Plate.12"	6	3	n	1	0.0	0.162
