"spid"	"apid"	"rowi"	"coli"	"wllt"	"wllq"	"conc"	"rval"
DMSO	"09Apr2014.Plate.24"	6	3	n	1	0.0	0.32
DMSO	"03Sep2014.Plate.19"	6	3	n	1	0.0	0.25
DMSO	"09Apr2014.Plate.31"	6	3	n	1	0.0	0.29
DMSO	"20130320.Plate.1"	2	3	n	1	0.0	0.14142135623731
DMSO	"09Apr2014.Plate.8"	6	3	n	1	0.0	0.27
DMSO	"02Apr2014.Plate.1"	6	2	n	1	0.0	0.33
DMSO	"20130320.Plate.13"	2	3	n	1	0.0	0.34
DMSO	"10Jun2015.Plate.4"	6	3	n	1	0.0	1.07
DMSO	"10Jun2015.Plate.12"	6	3	n	1	0.0	1.08
DMSO	"26Mar2014.Plate.15"	6	3	n	1	0.0	0.5
DMSO	"09Apr2014.Plate.17"	6	3	n	1	0.0	0.32
DMSO	"02Apr2014.Plate.17"	6	3	n	1	0.0	0.22
DMSO	"20130320.Plate.3"	2	3	n	1	0.0	0.49
DMSO	"10Jun2015.Plate.20"	6	3	n	1	0.0	1.0
DMSO	"03Sep2014.Plate.11"	6	3	n	1	0.0	0.31
DMSO	"26Mar2014.Plate.3"	7	3	n	1	0.0	0.53
DMSO	"02Apr2014.Plate.24"	6	3	n	1	0.0	0.25
DMSO	"20130320.Plate.7"	6	3	n	1	0.0	0.44
DMSO	"10Jun2015.Plate.29"	6	3	n	1	0.0	0.97
DMSO	"03Sep2014.Plate.2"	6	3	n	1	0.0	0.3
DMSO	"02Apr2014.Plate.31"	6	3	n	1	0.0	0.26
DMSO	"20130321.Plate.2"	6	3	n	1	0.0	0.34
DMSO	"10Jun2015.Plate.36"	6	3	n	1	0.0	0.97
DMSO	"03Sep2014.Plate.8"	6	3	n	1	0.0	0.37
DMSO	"09Apr2014.Plate.1"	6	3	n	1	0.0	0.4
DMSO	"20130321.Plate.6"	6	3	n	1	0.0	0.28
DMSO	"09Apr2014.Plate.24"	7	3	n	1	0.0	0.56
DMSO	"03Sep2014.Plate.19"	7	3	n	1	0.0	0.31
DMSO	"09Apr2014.Plate.31"	7	3	n	1	0.0	0.35
DMSO	"20130320.Plate.1"	6	3	n	1	0.0	0.14142135623731
DMSO	"09Apr2014.Plate.8"	7	3	n	1	0.0	0.23
DMSO	"02Apr2014.Plate.1"	7	2	n	1	0.0	0.36
DMSO	"20130320.Plate.13"	6	3	n	1	0.0	0.43
DMSO	"10Jun2015.Plate.4"	7	3	n	1	0.0	1.1
DMSO	"10Jun2015.Plate.13"	6	3	n	1	0.0	0.92
DMSO	"26Mar2014.Plate.15"	7	3	n	1	0.0	0.47
DMSO	"09Apr2014.Plate.17"	7	3	n	1	0.0	0.3
DMSO	"02Apr2014.Plate.17"	7	3	n	1	0.0	0.25
DMSO	"20130320.Plate.3"	6	3	n	1	0.0	0.47
DMSO	"10Jun2015.Plate.20"	7	3	n	1	0.0	0.92
DMSO	"03Sep2014.Plate.11"	7	3	n	1	0.0	0.37
DMSO	"26Mar2014.Plate.4"	6	3	n	1	0.0	0.43
DMSO	"02Apr2014.Plate.24"	7	3	n	1	0.0	0.31
