"assay_component_name"	"technological_target_type_sub"	"chnm"	"casn"	"Efficacy/potency"	"stkc"	"stkc_unit"	"apid"	"rowi"	"coli"	"wllt"	"wllq"	"conc"	"rval"
CEETOX_H295R_ESTRADIOL	Estradiol	"1-(Bromomethyl)-3-phenoxybenzene"	"51632-16-7"	intermediate	100.0	mM	"09Apr2014.Plate.26"	7	11	t	1	0.411522634	0.56
CEETOX_H295R_ESTRADIOL	Estradiol	"1-(Bromomethyl)-3-phenoxybenzene"	"51632-16-7"	intermediate	100.0	mM	"09Apr2014.Plate.26"	7	10	t	1	0.411522634	0.58
CEETOX_H295R_ESTRADIOL	Estradiol	"1-(Bromomethyl)-3-phenoxybenzene"	"51632-16-7"	intermediate	100.0	mM	"09Apr2014.Plate.26"	6	11	t	1	1.234567901	0.53
CEETOX_H295R_ESTRADIOL	Estradiol	"1-(Bromomethyl)-3-phenoxybenzene"	"51632-16-7"	intermediate	100.0	mM	"09Apr2014.Plate.26"	6	10	t	1	1.234567901	0.52
CEETOX_H295R_ESTRADIOL	Estradiol	"1-(Bromomethyl)-3-phenoxybenzene"	"51632-16-7"	intermediate	100.0	mM	"09Apr2014.Plate.26"	5	10	t	1	3.703703704	0.61
CEETOX_H295R_ESTRADIOL	Estradiol	"1-(Bromomethyl)-3-phenoxybenzene"	"51632-16-7"	intermediate	100.0	mM	"09Apr2014.Plate.26"	5	11	t	1	3.703703704	0.63
CEETOX_H295R_ESTRADIOL	Estradiol	"1-(Bromomethyl)-3-phenoxybenzene"	"51632-16-7"	intermediate	100.0	mM	"09Apr2014.Plate.26"	4	10	t	1	11.11111111	0.74
CEETOX_H295R_ESTRADIOL	Estradiol	"1-(Bromomethyl)-3-phenoxybenzene"	"51632-16-7"	intermediate	100.0	mM	"09Apr2014.Plate.26"	4	11	t	1	11.11111111	0.75
CEETOX_H295R_ESTRADIOL	Estradiol	"1-(Bromomethyl)-3-phenoxybenzene"	"51632-16-7"	intermediate	100.0	mM	"09Apr2014.Plate.26"	3	11	t	1	33.33333333	0.72
CEETOX_H295R_ESTRADIOL	Estradiol	"1-(Bromomethyl)-3-phenoxybenzene"	"51632-16-7"	intermediate	100.0	mM	"09Apr2014.Plate.26"	3	10	t	1	33.33333333	0.96
CEETOX_H295R_ESTRADIOL	Estradiol	"1-(Bromomethyl)-3-phenoxybenzene"	"51632-16-7"	intermediate	100.0	mM	"09Apr2014.Plate.26"	2	10	t	1	100.0	1.44
CEETOX_H295R_ESTRADIOL	Estradiol	"1-(Bromomethyl)-3-phenoxybenzene"	"51632-16-7"	intermediate	100.0	mM	"09Apr2014.Plate.26"	2	11	t	1	100.0	1.43
CEETOX_H295R_ESTRADIOL	Estradiol	"1-Chloroanthraquinone"	"82-44-0"	intermediate	10.699999809265137	mM	"03Sep2014.Plate.1"	7	6	t	1	0.044	1.39
