"assay_component_name"	"technological_target_type_sub"	"chnm"	"casn"	"Efficacy/potency"	"stkc"	"stkc_unit"	"apid"	"rowi"	"coli"	"wllt"	"wllq"	"conc"	"rval"
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"03Sep2014.Plate.18"	7	8	t	1	0.411522634	0.38
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"03Sep2014.Plate.18"	7	9	t	1	0.411522634	0.35
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"10Jun2015.Plate.38"	7	7	t	1	0.411522634	0.85
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"10Jun2015.Plate.38"	7	6	t	1	0.411522634	0.87
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"03Sep2014.Plate.18"	6	9	t	1	1.234567901	0.44
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"10Jun2015.Plate.38"	6	6	t	1	1.234567901	0.93
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"03Sep2014.Plate.18"	6	8	t	1	1.234567901	0.49
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"10Jun2015.Plate.38"	6	7	t	1	1.234567901	0.92
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"10Jun2015.Plate.38"	5	7	t	1	3.703666667	1.42
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"10Jun2015.Plate.38"	5	6	t	1	3.703666667	1.4
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"03Sep2014.Plate.18"	5	8	t	1	3.703666667	0.48
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"03Sep2014.Plate.18"	5	9	t	1	3.703666667	0.45
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"03Sep2014.Plate.18"	4	9	t	1	11.111	0.23
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"10Jun2015.Plate.38"	4	6	t	1	11.111	0.99
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"03Sep2014.Plate.18"	4	8	t	1	11.111	0.26
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"10Jun2015.Plate.38"	4	7	t	1	11.111	1.05
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"03Sep2014.Plate.18"	3	9	t	1	33.33333333	0.14142135623731
CEETOX_H295R_PROG	Progesterone	(+/-)-cis-Permethrin	"61949-76-6"	intermediate	100.0	mM	"03Sep2014.Plate.18"	3	8	t	1	33.33333333	0.14142135623731
